project_id,name,client_id,team_id,status,budget_minor_units,currency,start_date,end_date,owner_employee_id
55,Étienne Group - Compliance audit phase 3,14,8,pipeline,12000000,EUR,2026-05-29,,15
56,Étienne Group - Org redesign phase 4,14,3,active,2500000,EUR,2024-12-10,,8
57,Peron Barbe et Fils Group - Cloud migration phase 1,15,2,active,50000000,EUR,2024-10-06,,15
58,Peron Barbe et Fils Group - Cost optimization phase 2,15,3,active,2500000,EUR,2024-10-30,,8
59,Peron Barbe et Fils Group - Finance transformation phase 3,15,1,pipeline,2500000,EUR,2026-10-30,,10
60,Peron Barbe et Fils Group - Cost optimization phase 4,15,3,completed,25000000,EUR,2025-04-10,2025-05-11,13
61,Turpin SA - Org redesign phase 1,16,3,active,5000000,EUR,2024-02-13,,13
62,Turpin SA - Compliance audit phase 2,16,8,active,12000000,EUR,2024-05-09,,22
63,Turpin SA - Data platform phase 3,16,2,active,2500000,EUR,2025-05-21,,9
64,Turpin SA - Cloud migration phase 4,16,2,active,50000000,EUR,2025-07-06,,9
65,Fernandez Lopes S.A.R.L. Group - Data platform phase 1,17,2,active,12000000,EUR,2024-08-11,,11
66,Fernandez Lopes S.A.R.L. Group - Cost optimization phase 2,17,3,completed,25000000,EUR,2025-06-26,2025-11-15,17
67,Fernandez Lopes S.A.R.L. Group - Operations uplift phase 3,17,7,completed,25000000,EUR,2024-12-28,2025-05-06,14
68,Fernandez Lopes S.A.R.L. Group - Risk review phase 4,17,6,completed,50000000,EUR,2025-09-11,2025-10-05,14
69,Marques Group - Org redesign phase 1,18,3,completed,25000000,EUR,2024-12-18,2025-05-03,8
70,Marques Group - Compliance audit phase 2,18,8,completed,50000000,EUR,2025-07-10,2025-11-22,17
71,Marques Group - Compliance audit phase 3,18,8,completed,2500000,EUR,2025-07-01,2025-07-14,13
72,Marques Group - Cost optimization phase 4,18,3,active,50000000,EUR,2024-11-20,,8
73,Coulon Lecomte SARL Group - Finance transformation phase 1,19,1,active,5000000,EUR,2025-05-06,,10
74,Coulon Lecomte SARL Group - Risk review phase 2,19,6,active,5000000,EUR,2024-01-07,,18
75,Coulon Lecomte SARL Group - Compliance audit phase 3,19,8,active,12000000,EUR,2024-09-04,,11
76,Coulon Lecomte SARL Group - Finance transformation phase 4,19,1,pipeline,25000000,EUR,2026-05-08,,10
77,Berthelot SE - Cloud migration phase 1,20,2,active,5000000,EUR,2024-07-28,,11
78,Berthelot SE - Risk review phase 2,20,6,active,50000000,EUR,2024-09-26,,18
79,Berthelot SE - Data platform phase 3,20,2,active,25000000,EUR,2024-01-07,,15
80,Berthelot SE - Finance transformation phase 4,20,1,completed,25000000,EUR,2025-09-04,2025-10-13,10
81,Guillot et Fils SE - Operations uplift phase 1,21,7,active,2500000,EUR,2024-11-07,,15
82,Guillot et Fils SE - Cost optimization phase 2,21,3,active,50000000,EUR,2025-07-31,,13
83,Guillot et Fils SE - Cost optimization phase 3,21,3,active,12000000,EUR,2025-02-14,,8
84,Guillot et Fils SE - Cost optimization phase 4,21,3,completed,2500000,EUR,2025-11-14,2026-03-16,13
85,Blot Ollivier et Fils Group - Cloud migration phase 1,22,2,completed,50000000,EUR,2024-02-29,2025-12-28,11
86,Blot Ollivier et Fils Group - Org redesign phase 2,22,3,active,2500000,EUR,2024-02-04,,13
87,Blot Ollivier et Fils Group - Data platform phase 3,22,2,completed,5000000,EUR,2024-01-16,2026-02-09,11
88,Blot Ollivier et Fils Group - Cost optimization phase 4,22,3,active,50000000,EUR,2025-12-07,,8
89,Cousin S.A. Group - Cost optimization phase 1,23,3,active,12000000,EUR,2025-04-17,,17
90,Cousin S.A. Group - Org redesign phase 2,23,3,active,5000000,EUR,2025-04-15,,13
91,Cousin S.A. Group - Cloud migration phase 3,23,2,completed,2500000,EUR,2025-08-04,2025-11-18,15
92,Cousin S.A. Group - Data platform phase 4,23,2,active,50000000,EUR,2024-04-04,,15
93,Reynaud SA - Risk review phase 1,24,6,active,12000000,EUR,2024-01-18,,18
94,Reynaud SA - Cloud migration phase 2,24,2,active,5000000,EUR,2024-09-23,,9
95,Reynaud SA - Cloud migration phase 3,24,2,active,12000000,EUR,2025-10-19,,9
96,Reynaud SA - Cloud migration phase 4,24,2,active,50000000,EUR,2025-05-21,,9
97,Benard SA - Data platform phase 1,25,2,completed,5000000,EUR,2025-11-13,2026-04-02,15
98,Benard SA - Operations uplift phase 2,25,7,pipeline,25000000,EUR,2026-11-18,,22
99,Benard SA - Operations uplift phase 3,25,7,completed,50000000,EUR,2024-07-18,2025-07-27,20
100,Benard SA - Org redesign phase 4,25,3,active,12000000,EUR,2025-03-05,,8
101,Grondin SE - Operations uplift phase 1,26,7,active,2500000,EUR,2024-11-20,,17
102,Grondin SE - Operations uplift phase 2,26,7,pipeline,12000000,EUR,2026-07-03,,22
103,Grondin SE - Compliance audit phase 3,26,8,completed,50000000,EUR,2024-09-30,2025-01-02,10
104,Grondin SE - Org redesign phase 4,26,3,pipeline,50000000,EUR,2026-05-02,,8
105,Bernier S.A.S. SA - Compliance audit phase 1,27,8,active,25000000,EUR,2025-02-22,,17
106,Bernier S.A.S. SA - Finance transformation phase 2,27,1,active,2500000,EUR,2026-01-12,,10
107,Bernier S.A.S. SA - Compliance audit phase 3,27,8,completed,2500000,EUR,2024-10-13,2025-11-16,20
108,Bernier S.A.S. SA - Data platform phase 4,27,2,active,50000000,EUR,2025-11-02,,15
109,Baron SE - Cost optimization phase 1,28,3,active,25000000,EUR,2025-10-30,,17
110,Baron SE - Finance transformation phase 2,28,1,pipeline,25000000,EUR,2026-05-11,,10
111,Baron SE - Org redesign phase 3,28,3,active,50000000,EUR,2024-06-10,,13
112,Baron SE - Cloud migration phase 4,28,2,active,2500000,EUR,2025-05-08,,11
113,Dumas SE - Data platform phase 1,29,2,active,12000000,EUR,2025-09-15,,15
114,Dumas SE - Data platform phase 2,29,2,pipeline,50000000,EUR,2026-05-19,,15
115,Dumas SE - Cloud migration phase 3,29,2,active,2500000,EUR,2025-09-25,,9
116,Dumas SE - Operations uplift phase 4,29,7,active,25000000,EUR,2025-02-09,,18
117,Neveu S.A.S. SE - Cloud migration phase 1,30,2,active,12000000,EUR,2025-09-10,,11
118,Neveu S.A.S. SE - Compliance audit phase 2,30,8,pipeline,25000000,EUR,2026-08-02,,16
119,Neveu S.A.S. SE - Org redesign phase 3,30,3,active,50000000,EUR,2026-01-27,,8
120,Neveu S.A.S. SE - Org redesign phase 4,30,3,active,2500000,EUR,2025-04-07,,13
121,Lenoir SARL SARL - Data platform phase 1,31,2,active,50000000,EUR,2025-06-04,,15
122,Lenoir SARL SARL - Cost optimization phase 2,31,3,completed,12000000,EUR,2025-05-27,2026-03-02,13
123,Henry SAS - Cloud migration phase 1,32,2,active,12000000,EUR,2025-05-29,,9
124,Henry SAS - Cloud migration phase 2,32,2,active,12000000,EUR,2024-05-03,,11
125,Voisin SE - Cost optimization phase 1,33,3,completed,5000000,EUR,2024-02-25,2025-02-03,17
126,Voisin SE - Data platform phase 2,33,2,active,12000000,EUR,2024-09-05,,15
127,Fleury S.A.R.L. SARL - Cost optimization phase 1,34,3,active,12000000,EUR,2024-08-13,,8
128,Fleury S.A.R.L. SARL - Data platform phase 2,34,2,active,25000000,EUR,2024-02-16,,15
129,Legrand SE - Org redesign phase 1,35,3,completed,2500000,EUR,2025-02-20,2025-06-30,13
130,Legrand SE - Compliance audit phase 2,35,8,active,5000000,EUR,2025-01-05,,13
131,Clément SAS - Org redesign phase 1,36,3,active,25000000,EUR,2024-02-16,,8
132,Clément SAS - Risk review phase 2,36,6,completed,5000000,EUR,2025-11-12,2025-11-23,14
133,Seguin SAS - Data platform phase 1,37,2,pipeline,12000000,EUR,2026-11-21,,9
134,Seguin SAS - Finance transformation phase 2,37,1,completed,12000000,EUR,2025-05-19,2025-11-02,10
135,Léger SARL - Cost optimization phase 1,38,3,pipeline,5000000,EUR,2026-08-30,,8
136,Léger SARL - Cloud migration phase 2,38,2,active,50000000,EUR,2025-10-11,,9
137,Bourdon et Fils SARL - Operations uplift phase 1,39,7,active,2500000,EUR,2026-01-04,,16
138,Bourdon et Fils SARL - Org redesign phase 2,39,3,pipeline,5000000,EUR,2026-11-08,,13
139,Aubry Peltier SA SAS - Compliance audit phase 1,40,8,active,25000000,EUR,2025-06-18,,13
140,Aubry Peltier SA SAS - Risk review phase 2,40,6,active,12000000,EUR,2024-09-20,,18
141,Barbier SA SAS - Risk review phase 1,41,6,completed,12000000,EUR,2025-01-25,2025-04-02,18
142,Barbier SA SAS - Operations uplift phase 2,41,7,active,12000000,EUR,2024-02-20,,22
143,Klein SARL - Cost optimization phase 1,42,3,active,50000000,EUR,2024-03-25,,17
144,Klein SARL - Cost optimization phase 2,42,3,completed,5000000,EUR,2026-01-07,2026-02-09,8
145,Boutin SE - Cloud migration phase 1,43,2,active,12000000,EUR,2025-08-08,,9
146,Boutin SE - Operations uplift phase 2,43,7,completed,12000000,EUR,2025-02-17,2025-04-30,18
147,Aubry Toussaint S.A.S. SAS - Data platform phase 1,44,2,active,50000000,EUR,2024-07-22,,9
148,Aubry Toussaint S.A.S. SAS - Compliance audit phase 2,44,8,active,2500000,EUR,2024-12-24,,22
149,Jourdan Gérard SARL SARL - Cloud migration phase 1,45,2,active,12000000,EUR,2024-12-26,,11
150,Jourdan Gérard SARL SARL - Cloud migration phase 2,45,2,completed,25000000,EUR,2025-03-04,2025-05-07,9
151,Le Gall Valentin et Fils SAS - Risk review phase 1,46,6,pipeline,25000000,EUR,2026-06-17,,18
152,Le Gall Valentin et Fils SAS - Finance transformation phase 2,46,1,active,25000000,EUR,2024-12-01,,10
153,Lagarde SE - Cost optimization phase 1,47,3,active,50000000,EUR,2024-10-04,,13
154,Lagarde SE - Risk review phase 2,47,6,active,25000000,EUR,2025-05-05,,14
155,Joseph SA SAS - Org redesign phase 1,48,3,active,5000000,EUR,2025-10-09,,8
156,Joseph SA SAS - Org redesign phase 2,48,3,active,2500000,EUR,2025-06-14,,17
157,Michel SARL - Org redesign phase 1,49,3,active,5000000,EUR,2024-02-24,,8
158,Michel SARL - Finance transformation phase 2,49,1,completed,12000000,EUR,2024-03-18,2025-08-14,10
159,Salmon et Fils SE - Cloud migration phase 1,50,2,active,25000000,EUR,2024-08-21,,11
160,Salmon et Fils SE - Finance transformation phase 2,50,1,active,2500000,EUR,2025-08-16,,10
161,Lelièvre Paul et Fils SE - Compliance audit phase 1,51,8,active,5000000,EUR,2025-06-22,,12
162,Lelièvre Paul et Fils SE - Cost optimization phase 2,51,3,completed,2500000,EUR,2026-01-13,2026-04-03,13
163,Bousquet SE - Risk review phase 1,52,6,completed,12000000,EUR,2024-09-30,2025-08-23,14
164,Bousquet SE - Finance transformation phase 2,52,1,active,5000000,EUR,2024-04-25,,10
165,Lejeune SAS - Operations uplift phase 1,53,7,pipeline,2500000,EUR,2026-12-22,,11
166,Lejeune SAS - Operations uplift phase 2,53,7,active,50000000,EUR,2025-07-26,,18
167,Renard SARL SARL - Finance transformation phase 1,54,1,active,50000000,EUR,2024-11-17,,10
168,Renard SARL SARL - Cloud migration phase 2,54,2,active,12000000,EUR,2025-05-02,,11
169,Samson SAS - Finance transformation phase 1,55,1,active,50000000,EUR,2026-02-08,,10
170,Samson SAS - Risk review phase 2,55,6,active,50000000,EUR,2024-09-10,,18
171,Fleury SE - Cloud migration phase 1,56,2,active,2500000,EUR,2024-11-04,,15
172,Fleury SE - Org redesign phase 2,56,3,active,2500000,EUR,2025-10-11,,17
173,Buisson SAS - Finance transformation phase 1,57,1,active,25000000,EUR,2025-10-28,,10
174,Buisson SAS - Finance transformation phase 2,57,1,active,25000000,EUR,2025-07-03,,10
175,Pasquier SE - Compliance audit phase 1,58,8,active,2500000,EUR,2025-11-10,,15
176,Pasquier SE - Data platform phase 2,58,2,active,12000000,EUR,2025-08-28,,9
177,Loiseau SARL - Data platform phase 1,59,2,active,50000000,EUR,2025-07-16,,15
178,Loiseau SARL - Org redesign phase 2,59,3,active,5000000,EUR,2025-03-07,,8
179,Martins SARL SARL - Org redesign phase 1,60,3,active,50000000,EUR,2025-06-13,,13
180,Martins SARL SARL - Cloud migration phase 2,60,2,pipeline,25000000,EUR,2026-07-09,,15
181,Rivière SE - Operations uplift phase 1,61,7,active,5000000,EUR,2024-10-24,,22
182,Rivière SE - Cloud migration phase 2,61,2,active,2500000,EUR,2024-05-27,,15
183,Lacombe Leroux SARL SE - Operations uplift phase 1,62,7,completed,2500000,EUR,2024-06-24,2026-03-11,14
184,Lacombe Leroux SARL SE - Risk review phase 2,62,6,active,2500000,EUR,2025-02-02,,14
185,Jean SA SE - Finance transformation phase 1,63,1,active,12000000,EUR,2024-07-04,,10
186,Jean SA SE - Cost optimization phase 2,63,3,completed,50000000,EUR,2024-04-22,2024-06-16,13
187,Didier Auger SARL SAS - Compliance audit phase 1,64,8,pipeline,2500000,EUR,2026-04-28,,22
188,Didier Auger SARL SAS - Risk review phase 2,64,6,completed,12000000,EUR,2025-09-24,2026-03-12,18
189,Berger SE - Finance transformation phase 1,65,1,completed,12000000,EUR,2025-12-25,2025-12-29,10
190,Berger SE - Data platform phase 2,65,2,active,12000000,EUR,2024-10-03,,11
191,Joseph Grégoire et Fils SAS - Cost optimization phase 1,66,3,active,25000000,EUR,2025-09-20,,13
192,Joseph Grégoire et Fils SAS - Org redesign phase 2,66,3,completed,5000000,EUR,2024-04-17,2025-01-16,13
193,Leblanc SAS - Operations uplift phase 1,67,7,active,12000000,EUR,2024-05-13,,22
194,Leblanc SAS - Compliance audit phase 2,67,8,active,2500000,EUR,2025-11-12,,21
195,Coste SARL - Cost optimization phase 1,68,3,completed,2500000,EUR,2025-09-24,2026-03-07,13
196,Coste SARL - Cloud migration phase 2,68,2,completed,50000000,EUR,2024-05-15,2025-03-17,11
197,Barre SE - Org redesign phase 1,69,3,active,2500000,EUR,2024-12-02,,8
198,Barre SE - Org redesign phase 2,69,3,active,12000000,EUR,2025-07-08,,13
199,Roche SAS - Operations uplift phase 1,70,7,active,50000000,EUR,2024-07-13,,21
200,Roche SAS - Cost optimization phase 2,70,3,pipeline,5000000,EUR,2026-06-18,,17
201,Bertrand SARL - Operations uplift phase 1,71,7,active,12000000,EUR,2025-09-05,,17
202,Bertrand SARL - Finance transformation phase 2,71,1,active,12000000,EUR,2025-01-03,,10
203,Collin SARL - Compliance audit phase 1,72,8,completed,2500000,EUR,2025-03-13,2025-07-14,11
204,Collin SARL - Cost optimization phase 2,72,3,completed,12000000,EUR,2025-10-25,2026-01-13,17
205,Gaudin Maury SARL SARL - Cloud migration phase 1,73,2,completed,2500000,EUR,2025-11-15,2026-01-09,9
206,Gaudin Maury SARL SARL - Operations uplift phase 2,73,7,pipeline,2500000,EUR,2026-12-26,,12
207,Garcia SE - Data platform phase 1,74,2,pipeline,5000000,EUR,2026-06-17,,15
208,Garcia SE - Org redesign phase 2,74,3,active,12000000,EUR,2024-11-09,,13
209,Sanchez Lelièvre SARL SE - Finance transformation phase 1,75,1,completed,50000000,EUR,2025-03-08,2026-04-01,10
210,Sanchez Lelièvre SARL SE - Operations uplift phase 2,75,7,pipeline,12000000,EUR,2026-11-06,,15
211,Boulanger et Fils SARL - Operations uplift phase 1,76,7,active,2500000,EUR,2024-04-23,,19
212,Boulanger et Fils SARL - Cloud migration phase 2,76,2,pipeline,50000000,EUR,2026-09-23,,11
213,Allard SAS - Cost optimization phase 1,77,3,active,12000000,EUR,2025-12-17,,17
214,Allard SAS - Compliance audit phase 2,77,8,completed,5000000,EUR,2025-03-30,2025-05-08,11
215,Lefort Pottier SARL SE - Finance transformation phase 1,78,1,active,5000000,EUR,2025-11-24,,10
216,Lefort Pottier SARL SE - Cost optimization phase 2,78,3,active,50000000,EUR,2025-11-28,,8
217,Hebert S.A. SARL - Compliance audit phase 1,79,8,active,12000000,EUR,2024-08-21,,21
218,Hebert S.A. SARL - Operations uplift phase 2,79,7,completed,5000000,EUR,2025-09-17,2025-11-13,19
219,Pelletier SAS - Compliance audit phase 1,80,8,active,25000000,EUR,2026-01-12,,13
220,Pelletier SAS - Data platform phase 2,80,2,active,5000000,EUR,2024-04-30,,9
221,Laporte Bouchet S.A.S. EURL - Operations uplift phase 1,81,7,active,5000000,EUR,2024-12-24,,21
222,Bourdon S.A.R.L. Studio - Operations uplift phase 1,82,7,completed,2500000,EUR,2026-02-15,2026-02-28,22
223,Diaz EURL - Org redesign phase 1,83,3,pipeline,12000000,EUR,2026-07-05,,17
224,Turpin SARL EURL - Data platform phase 1,84,2,active,50000000,EUR,2024-01-22,,15
225,Coste EURL - Compliance audit phase 1,85,8,active,12000000,EUR,2024-02-13,,12
226,Philippe SAS - Cloud migration phase 1,86,2,completed,12000000,EUR,2025-02-15,2025-05-25,15
227,Weber Masse SARL Studio - Risk review phase 1,87,6,active,2500000,EUR,2026-03-26,,14
228,Paris Studio - Cloud migration phase 1,88,2,active,5000000,EUR,2024-11-03,,11
229,Seguin et Fils SAS - Finance transformation phase 1,89,1,active,12000000,EUR,2024-01-24,,10
230,Seguin Benard S.A. EURL - Operations uplift phase 1,90,7,pipeline,50000000,EUR,2026-11-16,,12
231,Techer Pereira et Fils SAS - Data platform phase 1,91,2,active,2500000,EUR,2025-06-16,,11
232,Delorme SARL SAS - Cost optimization phase 1,92,3,completed,25000000,EUR,2025-10-10,2025-11-04,17
233,Letellier EURL - Cost optimization phase 1,93,3,completed,25000000,EUR,2024-08-23,2026-01-02,17
234,Gimenez Poulain S.A.S. SAS - Data platform phase 1,94,2,active,5000000,EUR,2025-07-24,,11
235,Collet Studio - Data platform phase 1,95,2,completed,25000000,EUR,2024-04-23,2025-09-14,11
236,Blanchard S.A. EURL - Org redesign phase 1,96,3,active,5000000,EUR,2025-01-02,,17
237,Garcia EURL - Cloud migration phase 1,97,2,active,5000000,EUR,2024-01-05,,11
238,Maillet EURL - Finance transformation phase 1,98,1,active,2500000,EUR,2024-03-05,,10
239,Nicolas EURL - Compliance audit phase 1,99,8,active,5000000,EUR,2024-07-28,,12
240,Bourdon Studio - Org redesign phase 1,100,3,active,5000000,EUR,2025-11-15,,13
241,Bonnin Studio - Compliance audit phase 1,101,8,active,2500000,EUR,2025-03-26,,14
242,Morel SARL Studio - Risk review phase 1,102,6,active,50000000,EUR,2025-08-19,,18
243,Tanguy Dufour S.A.R.L. EURL - Cloud migration phase 1,103,2,completed,12000000,EUR,2025-03-08,2025-04-21,15
244,Coste SAS - Data platform phase 1,104,2,pipeline,50000000,EUR,2026-06-22,,15
245,Camus S.A.S. Studio - Cloud migration phase 1,105,2,completed,50000000,EUR,2024-02-09,2025-01-08,15
246,Carpentier Studio - Cloud migration phase 1,106,2,completed,5000000,EUR,2025-10-12,2026-01-04,15
247,Perrin Studio - Org redesign phase 1,107,3,active,50000000,EUR,2024-03-31,,8
248,Baron EURL - Finance transformation phase 1,108,1,active,2500000,EUR,2026-01-12,,10
249,Clerc Riou S.A.S. EURL - Compliance audit phase 1,109,8,completed,5000000,EUR,2025-05-04,2025-05-09,22
250,Marchand Moreno S.A. EURL - Cost optimization phase 1,110,3,pipeline,50000000,EUR,2026-06-06,,17
251,Rey Boulanger S.A. Studio - Finance transformation phase 1,111,1,completed,25000000,EUR,2024-04-27,2025-03-01,10
252,Roger SAS - Compliance audit phase 1,112,8,active,25000000,EUR,2025-05-19,,13
253,Garcia Pelletier S.A. EURL - Cost optimization phase 1,113,3,completed,12000000,EUR,2024-07-16,2025-04-07,13
254,Roux SAS - Data platform phase 1,114,2,active,2500000,EUR,2025-06-28,,9
255,Vallet SA EURL - Operations uplift phase 1,115,7,active,25000000,EUR,2024-03-11,,17
256,Blanchet Studio - Operations uplift phase 1,116,7,completed,5000000,EUR,2026-03-10,2026-03-12,15
257,Bonneau Bertrand et Fils EURL - Cloud migration phase 1,117,2,active,12000000,EUR,2025-03-07,,15
258,Bonnet S.A.R.L. EURL - Org redesign phase 1,118,3,completed,12000000,EUR,2025-02-20,2026-04-10,13
259,Marin et Fils Studio - Cloud migration phase 1,119,2,active,12000000,EUR,2025-03-30,,15
260,Raynaud EURL - Data platform phase 1,120,2,active,12000000,EUR,2024-11-16,,9
